00001:Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội
00004:Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội
00006:Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội
00007:Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội
00008:Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội
00010:Phường Nguyễn Trung Trực, Quận Ba Đình, Thành phố Hà Nội
00013:Phường Quán Thánh, Quận Ba Đình, Thành phố Hà Nội
00016:Phường Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội
00019:Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội
00022:Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội
00025:Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội
00028:Phường Kim Mã, Quận Ba Đình, Thành phố Hà Nội
00031:Phường Giảng Võ, Quận Ba Đình, Thành phố Hà Nội
00034:Phường Thành Công, Quận Ba Đình, Thành phố Hà Nội
00037:Phường Phúc Tân, Quận Hoàn Kiếm, Thành phố Hà Nội
00040:Phường Đồng Xuân, Quận Hoàn Kiếm, Thành phố Hà Nội
00043:Phường Hàng Mã, Quận Hoàn Kiếm, Thành phố Hà Nội
00046:Phường Hàng Buồm, Quận Hoàn Kiếm, Thành phố Hà Nội
00049:Phường Hàng Đào, Quận Hoàn Kiếm, Thành phố Hà Nội
00052:Phường Hàng Bồ, Quận Hoàn Kiếm, Thành phố Hà Nội
00055:Phường Cửa Đông, Quận Hoàn Kiếm, Thành phố Hà Nội
00058:Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội
00061:Phường Hàng Bạc, Quận Hoàn Kiếm, Thành phố Hà Nội
00064:Phường Hàng Gai, Quận Hoàn Kiếm, Thành phố Hà Nội
00067:Phường Chương Dương, Quận Hoàn Kiếm, Thành phố Hà Nội
00070:Phường Hàng Trống, Quận Hoàn Kiếm, Thành phố Hà Nội
00073:Phường Cửa Nam, Quận Hoàn Kiếm, Thành phố Hà Nội
00076:Phường Hàng Bông, Quận Hoàn Kiếm, Thành phố Hà Nội
00079:Phường Tràng Tiền, Quận Hoàn Kiếm, Thành phố Hà Nội
00082:Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội
00085:Phường Phan Chu Trinh, Quận Hoàn Kiếm, Thành phố Hà Nội
00088:Phường Hàng Bài, Quận Hoàn Kiếm, Thành phố Hà Nội
00091:Phường Phú Thượng, Quận Tây Hồ, Thành phố Hà Nội
00094:Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội
00097:Phường Tứ Liên, Quận Tây Hồ, Thành phố Hà Nội
00100:Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội
00103:Phường Xuân La, Quận Tây Hồ, Thành phố Hà Nội
00106:Phường Yên Phụ, Quận Tây Hồ, Thành phố Hà Nội
00109:Phường Bưởi, Quận Tây Hồ, Thành phố Hà Nội
00112:Phường Thụy Khuê, Quận Tây Hồ, Thành phố Hà Nội
00115:Phường Thượng Thanh, Quận Long Biên, Thành phố Hà Nội
00118:Phường Ngọc Thụy, Quận Long Biên, Thành phố Hà Nội
00121:Phường Giang Biên, Quận Long Biên, Thành phố Hà Nội
00124:Phường Đức Giang, Quận Long Biên, Thành phố Hà Nội
00127:Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội
00130:Phường Gia Thụy, Quận Long Biên, Thành phố Hà Nội
00133:Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội
00136:Phường Phúc Lợi, Quận Long Biên, Thành phố Hà Nội
00139:Phường Bồ Đề, Quận Long Biên, Thành phố Hà Nội
00142:Phường Sài Đồng, Quận Long Biên, Thành phố Hà Nội
00145:Phường Long Biên, Quận Long Biên, Thành phố Hà Nội
00148:Phường Thạch Bàn, Quận Long Biên, Thành phố Hà Nội
00151:Phường Phúc Đồng, Quận Long Biên, Thành phố Hà Nội
00154:Phường Cự Khối, Quận Long Biên, Thành phố Hà Nội
00157:Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội
00160:Phường Nghĩa Tân, Quận Cầu Giấy, Thành phố Hà Nội
00163:Phường Mai Dịch, Quận Cầu Giấy, Thành phố Hà Nội
00166:Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội
00167:Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội
00169:Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội
00172:Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội
00175:Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội
00178:Phường Cát Linh, Quận Đống Đa, Thành phố Hà Nội
00181:Phường Văn Miếu, Quận Đống Đa, Thành phố Hà Nội
00184:Phường Quốc Tử Giám, Quận Đống Đa, Thành phố Hà Nội
00187:Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội
00190:Phường Ô Chợ Dừa, Quận Đống Đa, Thành phố Hà Nội
00193:Phường Văn Chương, Quận Đống Đa, Thành phố Hà Nội
00196:Phường Hàng Bột, Quận Đống Đa, Thành phố Hà Nội
00199:Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội
00202:Phường Khâm Thiên, Quận Đống Đa, Thành phố Hà Nội
00205:Phường Thổ Quan, Quận Đống Đa, Thành phố Hà Nội
00208:Phường Nam Đồng, Quận Đống Đa, Thành phố Hà Nội
00211:Phường Trung Phụng, Quận Đống Đa, Thành phố Hà Nội
00214:Phường Quang Trung, Quận Đống Đa, Thành phố Hà Nội
00217:Phường Trung Liệt, Quận Đống Đa, Thành phố Hà Nội
00220:Phường Phương Liên, Quận Đống Đa, Thành phố Hà Nội
00223:Phường Thịnh Quang, Quận Đống Đa, Thành phố Hà Nội
00226:Phường Trung Tự, Quận Đống Đa, Thành phố Hà Nội
00229:Phường Kim Liên, Quận Đống Đa, Thành phố Hà Nội
00232:Phường Phương Mai, Quận Đống Đa, Thành phố Hà Nội
00235:Phường Ngã Tư Sở, Quận Đống Đa, Thành phố Hà Nội
00238:Phường Khương Thượng, Quận Đống Đa, Thành phố Hà Nội
00241:Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội
00244:Phường Bạch Đằng, Quận Hai Bà Trưng, Thành phố Hà Nội
00247:Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Thành phố Hà Nội
00250:Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Thành phố Hà Nội
